 # xp yp zp bx by bz
 0.34483E+00 -0.34483E+00  0.00000E+00  0.12939E-03  0.32468E-03  0.61474E-02
 0.35862E+00 -0.34483E+00  0.00000E+00  0.13907E-03  0.30853E-03  0.58398E-02
 0.37241E+00 -0.34483E+00  0.00000E+00  0.14689E-03  0.29176E-03  0.55190E-02
 0.38621E+00 -0.34483E+00  0.00000E+00  0.15287E-03  0.27469E-03  0.51918E-02
 0.40000E+00 -0.34483E+00  0.00000E+00  0.15714E-03  0.25763E-03  0.48644E-02
 0.00000E+00 -0.33103E+00  0.00000E+00 -0.13903E-03  0.18290E-03  0.31172E-02
 0.13793E-01 -0.33103E+00  0.00000E+00 -0.13920E-03  0.19504E-03  0.33296E-02
 0.27586E-01 -0.33103E+00  0.00000E+00 -0.13862E-03  0.20765E-03  0.35509E-02
 0.41379E-01 -0.33103E+00  0.00000E+00 -0.13718E-03  0.22064E-03  0.37801E-02
 0.55172E-01 -0.33103E+00  0.00000E+00 -0.13478E-03  0.23392E-03  0.40156E-02
 0.68966E-01 -0.33103E+00  0.00000E+00 -0.13133E-03  0.24739E-03  0.42556E-02
 0.82759E-01 -0.33103E+00  0.00000E+00 -0.12676E-03  0.26089E-03  0.44978E-02
 0.96552E-01 -0.33103E+00  0.00000E+00 -0.12099E-03  0.27428E-03  0.47397E-02
 0.11034E+00 -0.33103E+00  0.00000E+00 -0.11398E-03  0.28739E-03  0.49782E-02
 0.12414E+00 -0.33103E+00  0.00000E+00 -0.10568E-03  0.30002E-03  0.52100E-02
 0.13793E+00 -0.33103E+00  0.00000E+00 -0.96105E-04  0.31198E-03  0.54317E-02
 0.15172E+00 -0.33103E+00  0.00000E+00 -0.85263E-04  0.32305E-03  0.56392E-02
 0.16552E+00 -0.33103E+00  0.00000E+00 -0.73208E-04  0.33303E-03  0.58288E-02
 0.17931E+00 -0.33103E+00  0.00000E+00 -0.60025E-04  0.34169E-03  0.59963E-02
 0.19310E+00 -0.33103E+00  0.00000E+00 -0.45832E-04  0.34883E-03  0.61377E-02
 0.20690E+00 -0.33103E+00  0.00000E+00 -0.30783E-04  0.35427E-03  0.62494E-02
 0.22069E+00 -0.33103E+00  0.00000E+00 -0.15069E-04  0.35785E-03  0.63278E-02
 0.23448E+00 -0.33103E+00  0.00000E+00  0.10874E-05  0.35942E-03  0.63701E-02
 0.24828E+00 -0.33103E+00  0.00000E+00  0.17436E-04  0.35890E-03  0.63743E-02
 0.26207E+00 -0.33103E+00  0.00000E+00  0.33704E-04  0.35626E-03  0.63392E-02
 0.27586E+00 -0.33103E+00  0.00000E+00  0.49610E-04  0.35152E-03  0.62647E-02
 0.28966E+00 -0.33103E+00  0.00000E+00  0.64875E-04  0.34474E-03  0.61521E-02
 0.30345E+00 -0.33103E+00  0.00000E+00  0.79238E-04  0.33608E-03  0.60035E-02
 0.31724E+00 -0.33103E+00  0.00000E+00  0.92466E-04  0.32573E-03  0.58227E-02
 0.33103E+00 -0.33103E+00  0.00000E+00  0.10437E-03  0.31393E-03  0.56139E-02
